,_Collision Id,Easting,Northing,geometry,GSV_ID
0,1200240171,531188,181609,POINT (-0.110649075941289 51.51817594274774),vkXigtL2L3iwipGmKsHFpQ
1,1200257426,533622,180141,POINT (-0.0761460506329209 51.50441396795896),CAoSLEFGMVFpcFA0eEZWVUJHWWs4Y1hsWnM5UDdLUEl0REdodVh6aEY5SFA1WXFi
2,1200268129,532462,181961,POINT (-0.0921662882018326 51.521042140341265),SjZ-sgwePgHbU1uM9RpoZA
3,1200280437,533647,181203,POINT (-0.0753839124262685 51.513951591559746),NS1NYUyAgpi8yB19cwca1w
4,1200282469,531362,181576,POINT (-0.1081550635019278 51.517838988534294),oxZqqE3v_ui6HXrQ-JV9Xg
5,48200932288,533310,180693,POINT (-0.0804302041003688 51.50944807568284),ixm42Z6e5NtlSFTM_zARrw
6,48200932294,531605,181360,POINT (-0.1047354955521949 51.515841393484266),YAjpReVvnTZJ4K--pL_zoQ
7,48200934972,532938,181284,POINT (-0.0855647573954995 51.514846611354294),gZNaLTngsrFKuI8FIv_oqg
8,48200934978,533181,181406,POINT (-0.0820188324354006 51.51588577255647),BEj6V7KkzkKjs-QIXnNa-g
9,48200943048,532147,181421,POINT (-0.0969061077724758 51.51626316314922),CAoSLEFGMVFpcE10RGpOQW1jYWp6OG8teGdzT0ZmNlhxTENMU2dZWjdjR0luMEtL
10,48200947012,533170,181445,POINT (-0.0821625449532228 51.5162388328193),2YZJZqZUk7vk2fjLzuZxaw
11,48200947544,533293,181599,POINT (-0.0803327658692768 51.517593754932385),CAoSLEFGMVFpcE85Zy0tbGZkNkw4Q2M3cG5oVjF2dG1JUHd0czNTOXlyNzl5MEhU
12,48200947552,533041,181158,POINT (-0.0841287818635857 51.51369009971396),_x9wEe6x6VqGXI6TGvQd0g
13,48200948527,531779,180834,POINT (-0.1024257767030291 51.51107396664691),nbax_aHawAzrrUbQhEbeVA
14,48200948691,532704,181542,POINT (-0.0888379679702482 51.51722007427955),cy8CM35glMpEZzcA67WR1A
15,48200949378,532440,181897,POINT (-0.0925072260132147 51.520472162040434),U65vqS2jKxk-wLxeLK-tAQ
16,48200950004,533276,181401,POINT (-0.0806524291086092 51.515818457245466),etdf53v_OD_BogS_y-zrTg
17,48200951874,531463,180987,POINT (-0.1069197370309136 51.51252244916964),RQ2e1h7gaxOBA-qvVrIpVA
18,48200951885,531599,181566,POINT (-0.1047450705259135 51.51769401208202),m6GdvN4QCKwpMRBDlXgodQ
19,48200953536,532839,180859,POINT (-0.0871506324388434 51.51105064449282),EJ-LwPoNyqwEmCQvHjyHrA
20,48200954956,532895,180703,POINT (-0.0864028875940336 51.509635605212175),yKzc688SJPJlKMN0J951qg
21,48200954964,531648,180900,POINT (-0.1042877844306705 51.511697586131966),CUcrlwVtDJgW9m1FF9FRdA
22,48200958805,532206,181560,POINT (-0.0960042206418333 51.51749849083908),SEtWeDb8d6oy4HzxeytL4w
23,48200958816,533658,180940,POINT (-0.0753251061533832 51.51158557717088),x7HOAI1-UPhZWCLUk7dGYQ
24,48200964301,533205,181426,POINT (-0.0816656070639023 51.516059847237),mmYgfbH7z2xF1EL98lcoDQ
25,48200968662,533260,181535,POINT (-0.0808322613980628 51.51702640456642),xDaQNNa1ovswDDdToZDZqw
26,48200968720,533168,181570,POINT (-0.0821441659922786 51.517362603495194),ni7nGDWAZveh1LXvMuaYww
27,48200968731,533490,181120,POINT (-0.0776764957013698 51.513242805537544),FpUbPjESTSuqLWxfTzwvPA
28,48200968745,533212,181439,POINT (-0.0815598764063641 51.51617502131),hDwKwfIOgW4SYKDY8NeA3g
29,48200979862,532125,181310,POINT (-0.0972645508103142 51.515270805175184),gUfKyhXJxYIwrXLXBeeFaw
30,48200980033,533285,181607,POINT (-0.0804449720870809 51.51766753191367),Nh5TZS7ysda-V9C3fO0Nag
31,48200990414,531340,181399,POINT (-0.1085378474870152 51.51625348274003),gy7fX8wYyoKLAIGFiPgWoQ
32,48200990424,532983,180965,POINT (-0.0850368582658573 51.51196936335133),Q5pASkYN3pw9PNgsHFrVWw
33,48200992250,531780,180834,POINT (-0.1024113749647201 51.5110737336365),PVYCfKI76p-TWBnoFqxHIQ
34,48200992273,532585,180787,POINT (-0.0908356962697488 51.510463223667905),BcHb52A3Xpc4zuRIjIVxew
35,48200992574,532544,180942,POINT (-0.0913679392333303 51.51186573424628),bim1v8i82PuNXuWCGRe2pQ
36,48201001434,532420,180833,POINT (-0.0931946774387805 51.51091525799797),bDk0iRa14E_fUUBBdRvNiw
37,48201002058,533681,180283,POINT (-0.0752427126031281 51.50567609406771),CAoSLEFGMVFpcE5PUXZMVDBlLVZMT29pMklHbUtjZWxuM2pfTEx3T2xWQkZjSEx4
38,48201002066,531899,181362,POINT (-0.1005001974480199 51.515790864171564),SykWOJS_XbJ1aoeyCjLV-A
39,48201013296,532435,180818,POINT (-0.092984282416023 51.5107769487186),-FBprWb9mAEHi8qpN1sHFw
40,1200228011,529324,181286,POINT (-0.1376169597291595 51.51570266291288),Bb_nMsWpJzw4egsIrYoRUg
41,1200228362,530410,180294,POINT (-0.1223414636964193 51.50653852699316),E1PDFuNZ7uB2iPeFzloiGQ
42,1200228648,524865,182603,POINT (-0.201377696815646 51.52854075336377),ilczWpQRYvM5B4duY4rPRg
43,1200228711,529587,178288,POINT (-0.134929163806764 51.488700354583784),CjrjWPMjIg-aZiJ0mxtPag
44,1200228857,527901,182042,POINT (-0.1578391910603683 51.52282032713011),XQV-KqqDrQAdlOMIdne_LA
45,1200229059,527379,181771,POINT (-0.1654569716349022 51.52050275746287),vOC4RL2k0EmQ8fT3fGG6Sw
