_Collision Id,Borough Name,Borough Number,Easting,Northing,_Vehicle Id,Vehicle Type Banded,Vehicle Type,Vehicle Manoeuvres,Vehicle Skidding and Overturning,Vehicle Restricted Lane,Location of Vehicle at First Impact,Vehicle Hit Object in Carriageway,Vehicle Leaving Carriageway,Vehicle Hit Object Off Carriageway,First Point of Impact,Journey Purpose,Driver Gender,Driver Age,Driver age (Banded)
1210287148,Barnet,30,521508,193079,1,Car,Car,Going Ahead Right Bend,Skid/Over,On Main CW - Not Rest.,Jct App,Hit Parked Veh,Did Not Leave,None,Front Hit First,Other/Not Known,Male,19,17-24
1210287149,Tower Hamlets,5,535379,180783,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,32,25-34
1210287151,Lambeth,9,529701,170398,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,27,25-34
1210287157,Hounslow,25,512144,171526,1,Car,Car,Going Ahead Other,Skidded,On Main CW - Not Rest.,Jct Cleared,Hit Parked Veh,Did Not Leave,None,Front Hit First,Unknown,Male,37,35-64
1210287163,Tower Hamlets,5,536569,183334,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,Hit Parked Veh,Did Not Leave,None,Front Hit First,Unknown,Male,42,35-64
1210287167,Haringey,31,531818,188393,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,Hit Parked Veh,Did Not Leave,None,Front Hit First,Other/Not Known,Male,25,25-34
1210287201,Redbridge,14,544716,187398,1,Private Hire,Private Hire - Licensed,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Unknown,Male,42,35-64
1210287204,Hounslow,25,520360,177946,1,Goods Vehicle,GDS =< 3.5T,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,68,65+
1210287233,Brent,28,519180,186160,1,Car,Car,Going Ahead Right Bend,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,48,35-64
1210287234,Bexley,18,551599,176500,4,Car,Car,Going Ahead Held Up,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,40,35-64
