,GSV_ID,Person,Bike,HeavyV,LightV,Facade,WindowOpening,Road,Sidewalk,StreetFurniture,GreeneryTree,GreeneryGrass,Sky,Nature
0,bLNzuV6c6j9FGFHdLT7PZg,0.0,0.0,0.0,0.05,0.18,0.0,0.31,0.07,0.02,0.15,0.01,0.18,0.0
1,_JS6bOh9P2lJhlS-LifBgg,0.0,0.0,0.0,0.13,0.2,0.0,0.15,0.02,0.0,0.32,0.07,0.08,0.0
2,Wu79NC-z8Vd-88lD6j4i5w,0.0,0.0,0.0,0.01,0.3,0.0,0.1,0.28,0.0,0.14,0.04,0.13,0.0
3,KSZiqMwhk9JIlxb9VBdHqA,0.0,0.0,0.0,0.01,0.4,0.0,0.16,0.12,0.0,0.1,0.02,0.14,0.0
4,dR4yVqEopSDXzRCPHKavJQ,0.03,0.0,0.0,0.04,0.54,0.0,0.24,0.08,0.0,0.02,0.0,0.02,0.0
5,K-sS89y2P8crgVX-Gkgl-Q,0.0,0.0,0.0,0.05,0.47,0.0,0.22,0.1,0.01,0.07,0.0,0.07,0.0
6,l27b08qrskvMm90PqcdjHA,0.0,0.0,0.0,0.0,0.39,0.0,0.22,0.15,0.01,0.05,0.0,0.15,0.0
7,k0f1KPbaRFTmmaQQwNDg9Q,0.0,0.0,0.0,0.06,0.44,0.0,0.13,0.11,0.01,0.14,0.0,0.08,0.0
8,5DJ3kfogd2I_pQ5CfThcyA,0.0,0.0,0.01,0.11,0.39,0.01,0.1,0.04,0.0,0.2,0.0,0.11,0.0
9,6pOz3LR8genstWJO7hu5UA,0.0,0.0,0.0,0.02,0.29,0.0,0.14,0.08,0.0,0.15,0.06,0.14,0.0
10,pc85cc3EiFtgMaoEdW9Dew,0.01,0.0,0.0,0.01,0.09,0.0,0.3,0.04,0.0,0.1,0.02,0.34,0.0
11,cg1vixhIZLMF-gh09mDBIQ,0.01,0.0,0.0,0.02,0.11,0.0,0.24,0.01,0.01,0.19,0.01,0.3,0.0
12,2kZnUrJZ-gr-U2imkID9pQ,0.0,0.0,0.0,0.12,0.51,0.0,0.11,0.02,0.0,0.1,0.06,0.08,0.0
13,8rI5gFGQ18BmQ5be6JJMAA,0.0,0.0,0.0,0.03,0.25,0.0,0.3,0.04,0.0,0.06,0.0,0.24,0.0
14,1zQ-6ACEgwnAGm5siAD7Cw,0.0,0.0,0.0,0.09,0.24,0.0,0.26,0.08,0.0,0.09,0.01,0.2,0.0
15,4UrXg0U7bow0iu4Kg3M2QA,0.01,0.0,0.0,0.01,0.2,0.0,0.21,0.07,0.0,0.1,0.07,0.29,0.0
16,iIGV8tDE83e9im0KIOXBdg,0.0,0.0,0.0,0.02,0.35,0.01,0.19,0.1,0.02,0.02,0.03,0.19,0.0
17,CAoSLEFGMVFpcE0tQzloTGd6aTlpT25vc0VpbU8wQUJFYXN0ai1DZDNGYlZ2bmtT,0.02,0.0,0.0,0.0,0.45,0.02,0.05,0.02,0.0,0.01,0.0,0.02,0.01
18,OMOxZVkn2gLNbEQaeFFe_Q,0.0,0.0,0.0,0.03,0.26,0.0,0.26,0.02,0.0,0.02,0.02,0.32,0.0
