_Collision Id,Borough Name,Borough Number,Easting,Northing,_Vehicle Id,Vehicle Type Banded,Vehicle Type,Vehicle Manoeuvres,Vehicle Skidding and Overturning,Vehicle Restricted Lane,Location of Vehicle at First Impact,Vehicle Hit Object in Carriageway,Vehicle Leaving Carriageway,Vehicle Hit Object Off Carriageway,First Point of Impact,Journey Purpose,Driver Gender,Driver Age,Driver age (Banded)
1220352073,Hammersmith & Fulham,11,525199,177928,1,Goods Vehicle,GDS =< 3.5T,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Male,48,35-64
1220352573,Greenwich,6,546214,179866,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Entering Main Rd,None,Left Cwy Nearside,Hit Rd Sign/Ats,Front Hit First,Other/Not Known,Female,42,35-64
1220352575,Bexley,18,551119,174789,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,20,17-24
1220352578,Enfield,32,528889,192230,1,Car,Car,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,46,35-64
1220352580,Redbridge,14,539773,190404,3,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,32,25-34
1220352580,Redbridge,14,539773,190404,4,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,21,17-24
1220352588,Newham,17,543159,181261,1,Car,Car,Going Ahead Right Bend,No Skidding/Overturn,On Main CW - Not Rest.,Entering Main Rd,Hit Kerb,Left Cwy Nearside/Rebound,Hit Tree,Front Hit First,Comm To/From Work,Male,32,25-34
1220352591,Bromley,19,535435,168744,1,Car,Car,Going Ahead Other,Skidded,On Main CW - Not Rest.,Jct App,Hit Parked Veh,Did Not Leave,None,Front Hit First,Unknown,Female,36,35-64
1220352594,Redbridge,14,546736,189194,4,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,31,25-34
1220352605,Tower Hamlets,5,534094,182549,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,25,25-34
1220352610,Hounslow,25,508766,174030,1,Car,Car,Going Ahead Right Bend,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,Hit Kerb,Left Cwy Nearside,Wall Or Fence,Front Hit First,Other/Not Known,Male,19,17-24
1220352611,Hillingdon,26,509531,182582,1,Car,Car,Going Ahead Other,Skidded,On Main CW - Not Rest.,Jct Cleared,Hit Parked Veh,Did Not Leave,None,Front Hit First,Other/Not Known,Male,23,17-24
1220352612,Haringey,31,528471,189140,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Entering R'about,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,52,35-64
1220352615,Westminster,1,529403,177887,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,26,25-34
1220352616,Greenwich,6,538111,177157,4,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,22,17-24
1220352618,Lewisham,7,536136,173287,1,Car,Car,Going Ahead Other,Skidded,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,31,25-34
1220352620,Islington,3,531289,182241,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,48,35-64
1220352620,Islington,3,531289,182241,2,Car,Car,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,37,35-64
1220352629,Lewisham,7,537401,176153,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,42,35-64
1220352635,Lewisham,7,536123,178502,1,Private Hire,Private Hire - Licensed,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,47,35-64
1220352637,Lewisham,7,538618,176708,1,Car,Car,Going Ahead Left Bend,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,51,35-64
1220352637,Lewisham,7,538618,176708,2,Car,Car,Moving Off,No Skidding/Overturn,Bus Lane,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,57,35-64
1220352641,Enfield,32,536558,199949,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Left Cwy Nearside,Entered Ditch,Front Hit First,Unknown,Male,19,17-24
1220352641,Enfield,32,536558,199949,3,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Left Cwy Nearside,Entered Ditch,Front Hit First,Unknown,Male,29,25-34
1220352644,Southwark,8,533459,176337,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,Hit Parked Veh,Did Not Leave,None,Front Hit First,Other/Not Known,Male,54,35-64
1220352645,Tower Hamlets,5,537850,183079,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Entering R'about,None,Did Not Leave,None,Front Hit First,Unknown,Male,21,17-24
1220352654,Barnet,30,526184,191875,1,Car,Car,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,31,25-34
1220352658,Redbridge,14,541130,190120,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Unknown,Male,19,17-24
1220352658,Redbridge,14,541130,190120,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,64,35-64
1220352658,Redbridge,14,541130,190120,3,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,48,35-64
1220352662,Hillingdon,26,509892,178305,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Unknown,Not Traced,21,17-24
1220352665,Newham,17,540669,185009,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,35,35-64
1220352667,Richmond-Upon-Thames,24,513706,172968,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Female,40,35-64
1220352668,Hillingdon,26,508827,176915,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Entering Main Rd,None,Did Not Leave,None,Front Hit First,Unknown,Male,38,35-64
