,GSV_ID,SBI,SLI,SVI,TFI,PSI,SI,GVI,SAI,AI,EPI
0,-1gHQs95yGRRbPZlMaqPJA,0.0,0.0,0.0,0.04,0.08,0.05,0.08,0.0,110.64,1.57
1,-6JeTIqWUMH41dUtLd5S9Q,0.0,0.0,0.0,0.08,0.07,0.05,0.01,0.0,999.0,2.26
2,-77yWwHo7Q-USu6-MIveYQ,0.05,0.0,0.0,0.01,0.03,0.27,0.14,0.0,6.51,1.2
3,-9kh4_8kqQ3EWX1fqUDKxQ,0.03,0.0,0.0,0.07,0.1,0.19,0.1,0.0,10.4,1.48
4,-9L9Bl2YWtouR1NMo3NP7Q,0.04,0.0,0.0,0.08,0.08,0.05,0.0,0.0,6.48,2.1
5,-aFGVoPFWsA2hjWZuFJUgA,0.0,0.0,0.0,0.04,0.09,0.16,0.01,0.0,694.0,1.19
6,-cDT5WadGbYHZBG22TEECQ,0.0,0.0,0.0,0.01,0.08,0.2,0.01,0.0,235.46,0.94
7,-Ewe5xGkuLl7adCC59DJWw,0.09,0.0,0.0,0.0,0.11,0.16,0.22,0.0,3.71,1.62
8,-EzM7arF3eYDDpiH4VIcFA,0.0,0.0,0.0,0.04,0.07,0.17,0.01,0.0,999.0,1.08
9,-FsBBDoS5Pf1LzrM1yO8iA,0.04,0.0,0.03,0.01,0.05,0.22,0.1,0.0,8.66,1.02
10,-fX1bCZVozstFJhN9deDRA,0.06,0.0,0.0,0.06,0.0,0.33,0.07,0.0,4.61,1.14
11,-iAFEWw8887ck9bt6xgBcw,0.03,0.0,0.0,0.04,0.03,0.2,0.13,0.0,10.66,1.36
12,-J3xYRINLzmBAz7vWNZzqA,0.38,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.22,4.92
13,-kOE-1OQ4y_waUWHXNuqzw,0.02,0.0,0.0,0.04,0.06,0.24,0.09,0.0,19.15,1.14
14,-Kr0ECFxX-QoILkrDhmOUw,0.08,0.0,0.0,0.0,0.0,0.2,0.35,0.0,3.18,1.73
15,-lpzAjX4IOB8wFMQq-D50Q,0.03,0.0,0.0,0.05,0.07,0.16,0.16,0.0,11.3,1.59
16,-np_MVoZttaRi29DpEdYRA,0.03,0.0,0.0,0.04,0.05,0.25,0.3,0.0,7.03,2.37
17,-q96jvApfqUlVjv7Gow40A,0.06,0.0,0.0,0.01,0.04,0.22,0.17,0.0,5.65,1.25
18,-TX0wDQJuQvZ1I3wVIIuaQ,0.03,0.0,0.0,0.15,0.01,0.3,0.17,0.0,6.42,1.49
19,-wN28JdPVhO_h1VmEDpnMg,0.05,0.0,0.0,0.07,0.06,0.19,0.27,0.0,5.25,1.76
20,-wzaP7WYVH5-fBAE3Awa5w,0.01,0.0,0.0,0.02,0.08,0.13,0.0,0.0,68.51,1.17
